OID_,Join_Count,TARGET_FID,id_db,id_protocol,Latitude,Longitude,SiteName,UnitCode,park,latitude_1,longitude_1,utmX,utmY,utmZone,monBeginDate,monEndDate
1,1,1,VF08,VF_008,32.35814657,-90.83871731,Vicksburg NMP,VICKS,VICK,32.35814657,-90.83871731,703367.9388,3582188.149,utm15,2012,
2,1,2,VF29,VF_029,32.36218032,-90.83868566,Vicksburg NMP,VICKS,VICK,32.36218032,-90.83868566,703361.8825,3582635.482,utm15,2012,
3,1,3,VF27,VF_027,32.36629063,-90.84065471,Vicksburg NMP,VICKS,VICK,32.36629063,-90.8406547,703167.3751,3583087.503,utm15,2012,
4,1,4,VF31,VF_031,32.37886376,-90.85689645,Vicksburg NMP,VICKS,VICK,32.37886376,-90.85689645,701610.9891,3584450.905,utm15,2012,
5,1,5,VF57,VF_057,32.35492268,-90.84532946,Vicksburg NMP,VICKS,VICK,32.35492268,-90.84532946,702752.8337,3581818.125,utm15,2012,
6,1,6,VF03,VF_003,32.35311128,-90.8491243,Vicksburg NMP,VICKS,VICK,32.35311128,-90.8491243,702399.7068,3581610.089,utm15,2012,
7,1,7,VF36,VF_036,32.33999896,-90.85817341,Vicksburg NMP,VICKS,VICK,32.33999896,-90.85817341,701577.098,3580139.087,utm15,2012,
8,1,8,VF38,VF_038,32.34086838,-90.85123104,Vicksburg NMP,VICKS,VICK,32.34086838,-90.85123104,702228.6732,3580248.586,utm15,2012,
9,1,9,VF32,VF_032,32.37366765,-90.84456919,Vicksburg NMP,VICKS,VICK,32.37366765,-90.84456919,702782.5135,3583898.058,utm15,2012,
10,1,10,VF33,VF_033,32.37616425,-90.84637175,Vicksburg NMP,VICKS,VICK,32.37616425,-90.84637175,702607.3201,3584171.47,utm15,2012,
11,1,11,VF17,VF_017,32.3708121,-90.86272014,Vicksburg NMP,VICKS,VICK,32.3708121,-90.86272014,701080.8604,3583547.153,utm15,2012,
12,1,12,VF12,VF_012,32.37171769,-90.84948223,Vicksburg NMP,VICKS,VICK,32.37171769,-90.84948223,702324.5498,3583672.535,utm15,2012,
13,1,13,VF42,VF_042,32.35812259,-90.84609215,Vicksburg NMP,VICKS,VICK,32.35812259,-90.84609215,702673.9087,3582171.494,utm15,2012,
14,1,14,VO08,VO_008,32.36933566,-90.87041525,Vicksburg NMP,VICKS,VICK,32.36933566,-90.87041525,700360,3583369,utm15,2012,
15,1,15,VM05,VM_005,32.37669317,-90.85719945,Vicksburg NMP,VICKS,VICK,32.37669317,-90.85719945,701587.3012,3584209.653,utm15,2012,
16,1,16,VM14,VM_014,32.34113229,-90.8551008,Vicksburg NMP,VICKS,VICK,32.34113229,-90.8551008,701863.8164,3580270.544,utm15,2012,
17,1,17,VM07,VM_007,32.3592075,-90.8418527,Vicksburg NMP,VICKS,VICK,32.3592075,-90.8418527,703070.4788,3582299.832,utm15,2012,
18,1,18,VM25,VM_025,32.37169566,-90.85376974,Vicksburg NMP,VICKS,VICK,32.37169566,-90.85376974,701921.1406,3583661.988,utm15,2012,
19,1,19,VM51,VM_051,32.36286451,-90.84634686,Vicksburg NMP,VICKS,VICK,32.36286451,-90.84634686,702639.3535,3582696.807,utm15,2012,
20,1,20,VM53,VM_053,32.37679229,-90.85051001,Vicksburg NMP,VICKS,VICK,32.37679229,-90.85051001,702216.5266,3584233.275,utm15,2012,
21,1,21,VM54,VM_054,32.37794349,-90.86638435,Vicksburg NMP,VICKS,VICK,32.37794349,-90.86638435,700720.2791,3584331.012,utm15,2012,
22,1,22,VE119,VE_119,32.37392255,-90.83762967,Vicksburg NMP,VICKS,VICK,32.37392255,-90.83762967,703434.9437,3583939.503,utm15,2012,
23,1,23,VM41,VM_041,32.37846042,-90.843182,Vicksburg NMP,VICKS,VICK,32.37846042,-90.843182,702902.3288,3584432.125,utm15,2012,
24,1,24,VE106,VE_106,32.37194102,-90.86990466,Vicksburg NMP,VICKS,VICK,32.37194103,-90.86990466,700402.2952,3583658.844,utm15,2012,
25,1,25,VM16,VM_016,32.37684101,-90.85470946,Vicksburg NMP,VICKS,VICK,32.37684101,-90.85470946,701821.2685,3584230.744,utm15,2012,
26,1,26,VM52,VM_052,32.34780301,-90.84840372,Vicksburg NMP,VICKS,VICK,32.34780301,-90.84840372,702479.3615,3581022.859,utm15,2012,
27,1,27,VM28,VM_028,32.3741065,-90.84702095,Vicksburg NMP,VICKS,VICK,32.37410651,-90.84702095,702550.8263,3583942.072,utm15,2012,
28,1,28,VM06,VM_006,32.37548915,-90.86527528,Vicksburg NMP,VICKS,VICK,32.37548915,-90.86527528,700830.0678,3584060.952,utm15,2012,
29,1,29,VE110,VE_110,32.37346213,-90.83525772,Vicksburg NMP,VICKS,VICK,32.37346213,-90.83525772,703659.175,3583892.964,utm15,2012,
30,1,30,VM39,VM_039,32.33835972,-90.85640624,Vicksburg NMP,VICKS,VICK,32.33835972,-90.85640624,701747.0878,3579960.654,utm15,2012,
31,1,31,VM29,VM_029,32.34747324,-90.85505088,Vicksburg NMP,VICKS,VICK,32.34747324,-90.85505088,701854.4262,3580973.735,utm15,2012,
32,1,32,VM26,VM_026,32.37698568,-90.86262711,Vicksburg NMP,VICKS,VICK,32.37698568,-90.86262711,701075.9357,3584231.868,utm15,2012,
33,1,33,BP 01,BP_01,29.7994003,-90.1232986,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79939126,-90.12330046,778066.8964,3300027.564,utm15,20140604,
34,1,34,BP 02,BP_02,29.7889996,-90.1130981,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78898458,-90.11310967,779081.2921,3298898.363,utm15,20140527,
35,1,35,BP 03,BP_03,29.7952995,-90.1010971,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79531956,-90.10114373,780220.8931,3299629.82,utm15,20140604,
36,1,36,BP 04,BP_04,29.7929993,-90.1243973,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79298661,-90.1244302,777975.3718,3299314.715,utm15,20140604,
37,1,37,BP 05,BP_05,29.8057995,-90.1213989,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.805836,-90.121435,778229.4339,3300746.638,utm15,20140602,
38,1,38,BP 06,BP_06,29.7842007,-90.1083984,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78423411,-90.108378,779552.1273,3298383.121,utm15,20140527,
39,1,39,BP 07,BP_07,29.7931004,-90.1039963,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79306487,-90.10395768,779955.0454,3299372.983,utm15,20140527,
40,1,40,BP 08,BP_08,29.7877007,-90.1020966,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7876817,-90.1021455,780145.3135,3298780.521,utm15,20140527,
41,1,41,BP 11,BP_11,29.7924995,-90.1115036,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79246286,-90.11154997,779222.469,3299287.802,utm15,20140527,
42,1,42,BP 13,BP_13,29.7933998,-90.1327972,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79342281,-90.13278029,777166.638,3299342.954,utm15,20140604,
43,1,43,BP 14,BP_14,29.7912006,-90.1289978,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79122728,-90.1289921,777539.0546,3299108.646,utm15,20140604,
44,1,44,BP 16,BP_16,29.8031998,-90.1131973,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80317215,-90.11322118,779031.0903,3300471.159,utm15,20140602,
45,1,45,BP 17,BP_17,29.7896004,-90.1203003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78955214,-90.1203214,778382.248,3298943.839,utm15,20140604,
46,1,46,BP 19,BP_19,29.7817001,-90.110199,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78165441,-90.11018225,779384.795,3298092.716,utm15,20140527,
47,1,47,BP 20,BP_20,29.7642002,-90.1036987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.76417341,-90.10369418,780061.0215,3296170.236,utm15,20140527,
48,1,48,BP 23,BP_23,29.8008003,-90.1155014,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80079664,-90.11545462,778821.7131,3300202.36,utm15,20150602,
49,1,49,BP 24,BP_24,29.7926998,-90.1160965,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79272163,-90.11606689,778784.9182,3299305.551,utm15,20150604,
50,1,50,BP 25,BP_25,29.7633991,-90.1092987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.76344623,-90.10929454,779521.2753,3296076.015,utm15,20150528,
51,1,51,BP 26,BP_26,29.7882996,-90.1082001,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7882838,-90.10824244,779553.9705,3298832.466,utm15,20150604,
52,1,52,BP 27,BP_27,29.7957993,-90.1343002,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.79576049,-90.13427028,777016.0967,3299598.56,utm15,20150602,
53,1,53,BP 28,BP_28,29.8076992,-90.1259003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80771,-90.125875,777794.9141,3300943.697,utm15,20150602,
54,1,54,BP 30,BP_30,29.7490997,-90.1427994,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.74913544,-90.14277237,776322.0101,3294408.603,utm15,20150528,
55,1,55,BP 31,BP_31,29.7852993,-90.1057968,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78533293,-90.10579732,779798.667,3298511.22,utm15,20150604,
56,1,56,BP 32,BP_32,29.7840996,-90.1120987,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78413855,-90.11211907,779190.5621,3298363.453,utm15,20150603,
57,1,57,BP 33,BP_33,29.8057003,-90.1139984,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80574243,-90.11400956,778947.7131,3300754.232,utm15,20150602,
58,1,58,BP 36,BP_36,29.7814007,-90.1044998,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.78144405,-90.10451927,779933.1099,3298083.139,utm15,20150604,
59,1,59,BP 39,BP_39,29.7861996,-90.1183014,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.7862086,-90.11831002,778586.0456,3298577.984,utm15,20150604,
60,1,60,BP 40,BP_40,29.8017006,-90.1091003,Jean Lafitte Barataria Unit,JELA_BA,JELA,29.80172793,-90.10909572,779434.0416,3300321.035,utm15,20150602,
61,1,61,GUISFL12,FL_12,30.3654003,-87.1509018,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36541046,-87.15093642,485496.1522,3359286.577,utm16,20130615,
62,1,62,GUISFL16,FL_16,30.3707008,-87.1264038,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37072362,-87.12643442,487851.2679,3359872.471,utm16,20130616,
63,1,63,GUISFL17,FL_17,30.3637009,-87.1486969,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36369785,-87.14873266,485707.6673,3359096.515,utm16,20120211,
64,1,64,GUISFL21,FL_21,30.3773994,-87.1353989,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37738304,-87.13544467,486986.3787,3360611.432,utm16,20130615,
65,1,65,GUISFL22,FL_22,30.3691998,-87.1328964,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.3691902,-87.13288505,487231.2447,3359703.254,utm16,20120211,
66,1,66,GUISFL23,FL_23,30.3666992,-87.1222,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36673462,-87.12216197,488261.3188,3359429.982,utm16,20130616,
67,1,67,GUISFL24,FL_24,30.3637009,-87.1435013,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36372255,-87.14354911,486205.7802,3359098.609,utm16,20130615,
68,1,68,GUISFL26,FL_26,30.3785,-87.1314011,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37845543,-87.13136139,487378.8412,3360729.806,utm16,20120211,
69,1,69,GUISFL27,FL_27,30.3696003,-87.1389999,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36958638,-87.13899784,486643.9278,3359747.862,utm16,20130615,
70,1,70,GUISFL28,FL_28,30.3658009,-87.1402969,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36577891,-87.14027587,486520.6019,3359326.09,utm16,20120211,
71,1,71,GUISFL29,FL_29,30.3715992,-87.1191025,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.37157095,-87.11914097,488552.1737,3359965.608,utm16,20120211,
72,1,72,GUISFL31,FL_31,30.3677006,-87.1353989,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36767275,-87.13536855,486992.4075,3359535.382,utm16,20120211,
73,1,73,GUISFL46,FL_46,30.368,-87.129303,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.36804083,-87.12927565,487577.9219,3359575.486,utm16,20130616,2018
74,1,74,GUISFL47,FL_47,30.3775997,-87.1280975,Gulf Islands Florida Unit,GUIS_FL,GUIS,30.3775674,-87.12811998,487690.1636,3360631.043,utm16,20120211,
75,1,75,GUISMS26,MS_26,30.3901005,-88.7890015,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39010561,-88.78904216,328116.1541,3363371.324,utm16,20120208,
76,0,76,GUISMS27,,30.3967991,-88.7879028,Gulf Islands Mississippi Unit,GUIS_MS,,,,,,,,
77,1,77,GUISMS28,MS_28,30.4008999,-88.7931976,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.40082201,-88.79324357,327731.2508,3364565.531,utm16,20120208,
78,1,78,GUISMS32,MS_32,30.3969002,-88.7820969,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39690992,-88.78213579,328791.6678,3364115.054,utm16,20130609,
79,1,79,GUISMS34,MS_34,30.3974991,-88.7774963,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39751258,-88.77744985,329242.9616,3364174.775,utm16,20130608,
80,1,80,GUISMS36,MS_36,30.3985004,-88.7854996,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39846157,-88.78546746,328474.2587,3364292.085,utm16,20130609,
81,1,81,GUISMS39,MS_39,30.3959999,-88.7794037,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39598477,-88.77934694,329058.0203,3364008.294,utm16,20130608,
82,1,82,GUISMS40,MS_40,30.3920002,-88.7873993,Gulf Islands Mississippi Unit,GUIS_MS,GUIS,30.39196315,-88.78741049,328276.1931,3363574.74,utm16,20120213,
83,1,83,PAAL04,Ba_04,26.0380001,-97.4722977,Palo Alto Battlefield NHP,PAAL,PAAL,26.03796702,-97.47225541,652855.1459,2880783.157,utm14,20110613,
84,1,84,PAAL05,Ba_05,26.0259991,-97.464798,Palo Alto Battlefield NHP,PAAL,PAAL,26.02599838,-97.46482873,653613.9095,2879466.128,utm14,20110610,
85,1,85,PAAL06,Ba_06,26.0263996,-97.4713974,Palo Alto Battlefield NHP,PAAL,PAAL,26.02637204,-97.47143894,652951.8896,2879499.755,utm14,20110609,
86,1,86,PAAL08,Ba_08,26.0104008,-97.4750977,Palo Alto Battlefield NHP,PAAL,PAAL,26.01042691,-97.47512263,652603.8612,2877729.23,utm14,20110609,
87,1,87,PAAL09,Ba_09,26.0144997,-97.4758987,Palo Alto Battlefield NHP,PAAL,PAAL,26.01451149,-97.4759425,652516.5199,2878180.714,utm14,20110609,
88,1,88,PAAL10,Ba_10,26.0132999,-97.4707031,Palo Alto Battlefield NHP,PAAL,PAAL,26.01332526,-97.47070613,653042.1533,2878055.442,utm14,20110609,
89,1,89,PAAL12,Ba_12,26.0349998,-97.4740982,Palo Alto Battlefield NHP,PAAL,PAAL,26.0349794,-97.47414563,652669.8665,2880450.011,utm14,20110603,
